Location,Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude,Price (PHP)
"Pag-Ibig Sa Nayon, Quezon City",2,2,83.0,14.646511,120.996952,9600000.0
"Highway Hills, Mandaluyong",1,1,33.0,14.578255,121.052143,8091264.0
"Highway Hills, Mandaluyong",1,1,31.0,14.578255,121.052143,7699883.0
"San Antonio, Davao",1,2,50.0,7.095857,125.630475,7320000.0
"Ortigas CBD, Pasig",3,2,102.0,14.583771,121.059675,24856700.0
"Ortigas CBD, Pasig",1,1,58.0,14.583771,121.059675,12488000.0
"Oranbo, Pasig",1,1,41.0,14.575822,121.064324,12364000.0
"Wack-Wack Greenhills, Mandaluyong",1,1,45.0,14.592173,121.053333,10705260.0
"Zapatera, Cebu",1,1,40.0,10.305725,123.904993,5307970.0
"Ortigas CBD, Pasig",1,1,59.0,14.583771,121.059675,15672600.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,16076000.0
"Oranbo, Pasig",2,2,106.0,14.575822,121.064324,35077000.0
"Highway Hills, Mandaluyong",1,1,37.0,14.578255,121.052143,8569389.0
"Ugong, Pasig",1,1,53.0,14.588882,121.079016,15627000.0
"Alabang, Muntinlupa",1,1,60.0,14.4179774,121.037608,11088000.0
"Ugong, Pasig",1,1,35.0,14.588882,121.079016,8830000.0
"Highway Hills, Mandaluyong",2,2,84.0,14.578255,121.052143,16545507.0
"Oranbo, Pasig",1,1,46.0,14.575822,121.064324,12882000.0
"Oranbo, Pasig",1,1,66.0,14.575822,121.064324,22973000.0
"Diliman, Quezon City",2,2,68.0,14.644874,121.050593,10100000.0
"Ortigas CBD, Pasig",1,1,64.0,14.583771,121.059675,17363800.0
"Ugong, Pasig",2,1,89.0,14.588882,121.079016,25471000.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,16420000.0
"Loyola Heights, Quezon City",1,1,41.0,14.640624,121.076504,3811333.0
"Alabang, Muntinlupa",1,1,18.0,14.4179774,121.037608,11088000.0
"Ortigas CBD, Pasig",1,1,50.0,14.583771,121.059675,12925800.0
"Oranbo, Pasig",1,1,34.0,14.575822,121.064324,10715000.0
"Sambag II, Cebu",1,1,24.0,10.3058395,123.8908567,2810000.0
