Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude,Link,Location_Last_Part
"Studio Unit (27 sqm) for Sale in City Clou, Cebu City","Zapatera, Cebu",3199000,1,1,27,10.305725,123.904993,https://www.lamudi.com.ph/studio-unit-27-sqm-for-sale-in-city-clou-cebu-city.html,Cebu
Cityland 101 Xavierville - Studio Unit for Sale in Quezon City,"Loyola Heights, Quezon City",1916509,1,1,17,14.640624,121.076504,https://www.lamudi.com.ph/cityland-101-xavierville-studio-unit-for-sale-in-quezon-city.html,Quezon City
"Cityland Pines Peak Tower II, 3-Bedroom Unit for Sale in Mandaluyong","Barangka Ilaya, Mandaluyong",7852870,3,2,74,14.571338,121.04641,https://www.lamudi.com.ph/cityland-pines-peak-tower-ii-3-bedroom-unit-for-sale-in-mandaluyong.html,Mandaluyong
"Condominium with 3 bedroom for Sale in Suntrust Asmara, New Manila, Quezon City","New Manila, Quezon City",8229500,3,2,53,14.621176,121.022808,https://www.lamudi.com.ph/condominium-with-3-bedroom-for-sale-in-suntrust-asmara-new-manila-quezon-city-1.html,Quezon City
"Studio Unit (27 sqm) for Sale in Suntrust Shanata, Novaliches, Quezon City","Novaliches, Quezon City",3113220,1,1,27,14.68155,121.0198,https://www.lamudi.com.ph/studio-unit-27-sqm-for-sale-in-suntrust-shanata-novaliches-quezon-city.html,Quezon City
"The Levels Anaheim Tower, 1-Bedroom Bi-Level for Sale in Alabang (for as low as Php 3...","Alabang, Muntinlupa",11088000,1,1,66,14.4179774,121.037608,https://www.lamudi.com.ph/the-levels-anaheim-tower-1-bedroom-bi-level-for-sale-in-alabang-for-as-low-as-php-30-000-monthly.html,Muntinlupa
Studio City Tower 4; RFO Condominium Unit for Sale (16sqm) in Alabang (for as low as ...,"Alabang, Muntinlupa",11088000,1,1,16,14.4179774,121.037608,https://www.lamudi.com.ph/studio-city-tower-4-rfo-condominium-unit-for-sale-16sqm-in-alabang-for-as-low-as-php-11-800-monthly.html,Muntinlupa
"Condominium with 2 bedroom for Sale in Suntrust Asmara, New Manila, Quezon City","New Manila, Quezon City",6785600,2,1,39,14.621176,121.022808,https://www.lamudi.com.ph/condominium-with-2-bedroom-for-sale-in-suntrust-asmara-new-manila-quezon-city-1.html,Quezon City
"Studio Condo Unit (7D) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",7623299,1,1,31,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-7d-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"1-Bedroom Unit for Sale in One Lakeshore Drive, San Antonio, Davao - Tower 2","San Antonio, Davao",7320000,1,2,50,7.095857,125.630475,https://www.lamudi.com.ph/1-bedroom-unit-for-sale-in-one-lakeshore-drive-san-antonio-davao-tower-2.html,Davao
"2BR Bi-Level Condo Unit for Sale in West Parc - Alder Building, Filinvest City, Alaba...","Alabang, Muntinlupa",8900000,2,2,73,14.4179774,121.037608,https://www.lamudi.com.ph/2br-bi-level-condo-unit-for-sale-in-west-parc-alder-building-filinvest-city-alabang-muntinlupa-73sqm.html,Muntinlupa
"1-Bedroom Condo Unit (24J) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Mani...","Highway Hills, Mandaluyong",12069664,1,1,57,14.578255,121.052143,https://www.lamudi.com.ph/1-bedroom-condo-unit-24j-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html,Mandaluyong
"Office Unit for Sale (92 sq.m.) in Parkway Corporate Center, Alabang (for as low as P...","Alabang, Muntinlupa",11088000,1,1,92,14.4179774,121.037608,https://www.lamudi.com.ph/office-unit-for-sale-92-sq-m-in-parkway-corporate-center-alabang-for-as-low-as-php-69-000-monthly.html,Muntinlupa
Pioneer Pointe 2BR Bi-Level Unit with Balcony (87 sqm) for Sale in Mandaluyong (Move-...,"Highway Hills, Mandaluyong",11088000,2,2,87,14.578255,121.052143,https://www.lamudi.com.ph/pioneer-pointe-2br-bi-level-unit-with-balcony-87-sqm-for-sale-in-mandaluyong-move-in-for-as-low-as-php-320k.html,Mandaluyong
"Studio Condo Unit for Sale in West Parc - Birch Building, Filinvest City, Alabang Mun...","Alabang, Muntinlupa",4500000,1,1,37,14.4179774,121.037608,https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-west-parc-birch-building-filinvest-city-alabang-muntinlupa-37sqm.html,Muntinlupa
"Residential Unit (106-16) for Sale in UniPlace @ SWU Village, Cebu City","Sambag II, Cebu",2810000,1,1,24,10.3058395,123.8908567,https://www.lamudi.com.ph/residential-unit-106-16-for-sale-in-uniplace-swu-village-cebu-city.html,Cebu
"3-Bedroom Unit for Sale in Suntrust Amadea - Tower 1, Quezon City","Paligsahan, Quezon City",6709716,3,2,46,14.646511,120.996952,https://www.lamudi.com.ph/3-bedroom-unit-for-sale-in-suntrust-amadea-tower-1-quezon-city.html,Quezon City
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 327-H","Cupang, Muntinlupa",5446700,2,1,58,14.434669,121.040194,https://www.lamudi.com.ph/rfo-2-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-327-h.html,Muntinlupa
